Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Піддубний,Святослав,Андрійович,Ч,04.12.1954,Фольклорист,хутір Іловайськ,"провулок Професора Коровицького, буд. 8, Володимир-Волинський, 52525",+380 (58) 778-49-44,khmaramykyta@example.com
Олійник,Марта,Олексіївна,Ж,02.12.1979,Історик,місто Чигирин,"провулок Іподромний, буд. 948, Зміїв, 85749",604 90 50,kiemelianenko@example.net
Романенко,Леопольд,Єгорович,Ч,15.12.1966,Психолог,селище Радехів,"площа Щоголєва, буд. 131 кв. 4, Генічеськ, 91385",022-02-47,sderkach@example.com
Вишняк,Прохір,Дмитрович,Ч,12.07.1990,Секретар,селище Мелітополь,"сквер Таїрова, буд. 962 кв. 60, Благовіщенське, 12899",312-02-47,pruban@example.org
Адаменко,Опанас,Олексійович,Ч,31.10.1972,Електромонтажник,хутір Кам'янка-Бузька,"набережна Топольського, буд. 953 кв. 282, Луганськ, 91389",048 786-98-30,xavramenko@example.com
Свириденко,Омелян,Едуардович,Ч,19.09.1987,Ґрунтознавець,селище Залізне,"узвіз Пересипський 2-й, буд. 14 кв. 447, Стрий, 38616",979 56 40,panasokhrymovych@example.com
Шиян,Георгій,Андрійович,Ч,09.11.2001,Біолог,хутір Баранівка,"проспект Тульська, буд. 45, Жидачів, 48190",+380 64 948-66-16,symontsushko@example.org
Іващенко,Владислав,Едуардович,Ч,04.08.1967,Ріелтор,місто Вознесенівка,"вулиця Новоукраїнський, буд. 3 кв. 6, Чортків, 92078",+380 19 926-08-30,rchornovil@example.org
Дерегус,Георгій,Михайлович,Ч,02.12.1961,Педагог,село Пустомити,"набережна Прохоровська, буд. 6 кв. 782, Донецьк, 86534",+380 46 843-24-80,rruban@example.net
Дашенко,Гаврило,Петрович,Ч,16.12.1995,Астроном,хутір Тетіїв,"вулиця Академіка Філатова, буд. 80, Житомир, 11042",059 998-85-98,matiashmykolai@example.org
Салій,Дан,Єгорович,Ч,05.09.1944,Електротехнік,хутір Новодністровськ,"проспект Омська, буд. 5, Єнакієве, 52138",+380 60 587-77-61,rpiddubnyi@example.com
Терещенко,Валентина,Петрівна,Ж,12.06.1952,Юрист,селище Генічеськ,"проспект Суворовська, буд. 50, Ладижин, 69795",+380 (82) 158-84-75,bzakharenko@example.com
Артимович,Кирило,Володимирович,Ч,19.02.2004,Ботанік,хутір Корюківка,"площа Єлисаветградський, буд. 342, Амвросіївка, 56363",+380 (93) 285-30-47,okhrimkashchenko@example.com
Рудик,Йосип,Петрович,Ч,27.12.1961,Ветеринар,хутір Костопіль,"проспект Плієва, буд. 723 кв. 3, Підгайці, 96071",066 592-17-50,giarema@example.net
Верес,Маруся,Богданівна,Ж,30.04.1969,Математик,село Болград,"проспект Сонячна, буд. 8, Бориспіль, 86589",035 344-67-48,okhrim43@example.com
Носенко,Марко,Дмитрович,Ч,01.08.1945,Локсмайстер,село Золоте,"площа Ботанічний, буд. 88, Городище , 38244",+380 17 326-36-92,andrii43@example.com
Голик,Ірина,Єгорівна,Ж,28.04.1942,Мірошник,місто Бучач,"парк Василя Кандинського 1-й, буд. 83, Монастириська, 10998",+380 08 661 13 78,iukhym44@example.net
Артеменко,Тереза,Володимирівна,Ж,27.09.1987,Менеджер,село Зеленодольськ,"проспект Бориса Літвака, буд. 941 кв. 013, Білицьке, 12695",+380 33 181 71 57,ivancharnysh@example.org
Ажажа,Лесь,Андрійович,Ч,13.10.1962,Диригент,місто Шахтарськ,"проспект Вчительська, буд. 33, Перечин, 08004",+380 54 164-56-46,ykhomyk@example.org
Чалий,Еріка,Петрівна,Ж,27.04.2004,Фотограф,хутір Вуглегірськ,"вулиця Молоді, буд. 3, Новогродівка, 02114",016-06-20,nvakulenko@example.org
Калениченко,Святослава,Михайлівна,Ж,02.08.1939,Біолог,село Ізяслав,"вулиця Пестеля, буд. 79, Полтава, 06828",+380 13 541-76-47,vhuzenko@example.org
Христич,Назар,Богданович,Ч,01.07.1960,Фармацевт,хутір Буринь,"проспект Геранієва, буд. 9 кв. 17, Старокостянтинів, 50822",+380 (37) 661-42-97,leontii45@example.org
Малик,Аліна,Андріївна,Ж,28.12.1999,Ді-джей,село Харцизьк,"набережна Виноградна 1-ша, буд. 632, Часів Яр, 78155",+380 (31) 677-48-96,rivanenko@example.org
Базавлученко,Валерій,Володимирович,Ч,26.03.1963,Економіст,селище Буринь,"сквер Станційна 1-ша, буд. 190 кв. 17, Антрацит , 47161",062 063-74-82,dmytrovyshniak@example.com
Іщенко,Юхим,Дмитрович,Ч,16.04.1972,Біолог,село Здолбунів,"вулиця Слєпньова, буд. 8, Пологи , 46388",075 68 67,volodymyrskorobohatko@example.com
Атаманюк,Камілла,Олексіївна,Ж,04.12.1989,Складальник,селище Старокостянтинів,"парк Хаджибейський 1-й, буд. 823, Іловайськ, 33702",+380 (72) 357-52-26,kredko@example.net
Гоголь-Яновський,Любов,Володимирівна,Ж,10.08.1975,Фрілансер,село Боярка,"проспект Дачний, буд. 305 кв. 6, Глухів, 10335",+380 22 137-74-46,ielysei88@example.net
Бабенко,Григорій,Андрійович,Ч,01.04.1955,Графік,селище Новоград-Волинський,"парк Рибальська, буд. 1, Пирятин, 30671",+380 (97) 633-28-93,viktoriia59@example.net
Харченко,Розалія,Богданівна,Ж,05.01.1965,Лікар,місто Марганець ,"парк Уманська, буд. 8, Авдіївка, 99467",343 27 87,demian27@example.org
Москаль,Артем,Дмитрович,Ч,20.02.1999,Водій,місто Вилкове,"площа Мічуріна, буд. 6 кв. 250, Вовчанськ, 78098",+380 16 147-67-48,babiukvarvara@example.org
Скорик,Микита,Михайлович,Ч,04.12.1981,Реабілітолог,селище Енергодар,"вулиця Історія Футболу, буд. 5 кв. 2, Яготин, 94836",+380 50 540-83-06,makar81@example.com
Вітер,Захар,Олексійович,Ч,04.01.1986,Штукатур,місто Світловодськ,"проспект Фестивальний, буд. 6 кв. 914, Євпаторія, 46645",225-51-99,symonorobets@example.net
Іщак,Альбіна,Михайлівна,Ж,01.01.2005,Програміст,хутір Кам'янець-Подільський,"площа Аеропортівський 3-й, буд. 96, Охтирка, 91936",+380 46 895-08-52,bchupryna@example.com
Артюх,Анжела,Володимирівна,Ж,09.10.1978,Історик,село Кривий Ріг,"проспект Соляний 4-й, буд. 750 кв. 4, Черкаси, 54724",394-34-43,fchuiko@example.net
Харченко,Ольга,Володимирівна,Ж,27.04.1972,Літературознавець,селище Новоукраїнка,"провулок Василя Кандинського, буд. 37, Прип'ять , 83140",021 585 60 90,atamanchukvioletta@example.org
Алексюк,Надія,Олексіївна,Ж,19.06.1980,Ді-джей,місто Арциз,"площа Нікітіна, буд. 08 кв. 99, Приморськ (Україна), 71515",+380 54 273-58-25,akymenkoveniiamyn@example.org
Бараник,Хома,Едуардович,Ч,18.01.1960,Етнограф,хутір Хуст,"проспект Лінія 30-та, буд. 470 кв. 516, Іловайськ, 04159",106 58 83,odziuba@example.org
Вахній,Алла,Єгорівна,Ж,01.02.1979,Стропальник,хутір Новоселиця,"шосе Олександра Невського 2-й, буд. 619, Люботин, 35759",701-75-92,danna09@example.net
Бандура,Алевтин,Едуардович,Ч,03.08.1985,Електротехнік,місто Джанкой,"площа Дальницька, буд. 590, Білицьке, 69105",+380 44 639-00-99,kkhrystenko@example.com
Єфименко,Пармен,Єгорович,Ч,07.09.2001,Гірник,селище Андрушівка,"парк Карантинний узвіз, буд. 15, Рожище, 33924",760 73 47,zynoviivakarchuk@example.com
Охримович,Сергій,Андрійович,Ч,19.04.1969,Гицель,селище Трускавець,"провулок Соляний 3-й, буд. 6 кв. 49, Бердянськ, 46561",231 73 81,averchenkodavyd@example.org
Фартушняк,Лукʼян,Едуардович,Ч,05.03.1957,Дизайнер,хутір Полтава,"шосе Миколи Гумільова, буд. 012 кв. 88, Горлівка, 44623",898 16 32,istets@example.net
Бандура,Данна,Єгорівна,Ж,06.06.1982,Гінеколог,хутір Олешки,"сквер Заводська 2-га, буд. 90 кв. 057, Щастя , 42369",078 749 65 87,pushkariaroslava@example.org
Верменич,Амвросій,Богданович,Ч,20.05.1996,Хореограф,селище Тараща,"провулок Бібліотечна, буд. 10 кв. 3, Винники, 76500",322 85 40,rostyslavsmyk@example.com
Христенко,Святослава,Андріївна,Ж,27.09.1995,Юрист,селище Слов'янськ,"парк Середньофонтанська, буд. 930, Тисмениця, 31434",+380 (92) 112-14-42,tetiana68@example.com
Зінченко,Дмитро,Петрович,Ч,30.04.1979,Стропальник,село Нова Одеса,"сквер Лузанівський, буд. 743, Кам'янка-Бузька, 81814",+380 31 581 19 07,ctaran@example.net
